FBgn,FBtr,branch
FBgn0000008,FBtr0071764,0
FBgn0000014,FBtr0083387,0
FBgn0000015,FBtr0330709,0
FBgn0000017,FBtr0330134,0
FBgn0000018,FBtr0080168,0
FBgn0000022,FBtr0070072,0
FBgn0000024,FBtr0300486,0
FBgn0000028,FBtr0305195,0
FBgn0000032,FBtr0085610,0
FBgn0000036,FBtr0330310,0
FBgn0000037,FBtr0072368,0
FBgn0000038,FBtr0073300,0
FBgn0000039,FBtr0084640,0
FBgn0000042,FBtr0100663,0
FBgn0000043,FBtr0086029,0
FBgn0000044,FBtr0071519,0
FBgn0000045,FBtr0334090,0
FBgn0000046,FBtr0082786,0
FBgn0000047,FBtr0083143,0
FBgn0000052,FBtr0079221,0
FBgn0000053,FBtr0100353,0
FBgn0000054,FBtr0086112,0
FBgn0000055,FBtr0100594,0
FBgn0000056,FBtr0343699,0
FBgn0000057,FBtr0086744,0
FBgn0000061,FBtr0078053,0
FBgn0000063,FBtr0083478,0
FBgn0000064,FBtr0084995,0
FBgn0000071,FBtr0081619,0
FBgn0000075,FBtr0081153,0
FBgn0000077,FBtr0071331,0
FBgn0000078,FBtr0086983,1
FBgn0000079,FBtr0087004,0
FBgn0000083,FBtr0089518,0
FBgn0000084,FBtr0070025,0
FBgn0000092,FBtr0070504,0
FBgn0000094,FBtr0346141,3
FBgn0000097,FBtr0330659,0
FBgn0000099,FBtr0300504,0
FBgn0000100,FBtr0078481,0
FBgn0000108,FBtr0070109,0
FBgn0000109,FBtr0346440,0
FBgn0000114,FBtr0080345,0
FBgn0000115,FBtr0075517,0
FBgn0000116,FBtr0112791,0
FBgn0000117,FBtr0089991,0
FBgn0000119,FBtr0087702,0
FBgn0000120,FBtr0307350,0
FBgn0000121,FBtr0076599,0
FBgn0000137,FBtr0070075,0
FBgn0000139,FBtr0306171,0
FBgn0000140,FBtr0084692,0
FBgn0000146,FBtr0080165,0
FBgn0000147,FBtr0082483,0
FBgn0000150,FBtr0346150,0
FBgn0000152,FBtr0074372,0
FBgn0000153,FBtr0309960,0
FBgn0000157,FBtr0072378,0
FBgn0000158,FBtr0084869,0
FBgn0000163,FBtr0074388,0
FBgn0000166,FBtr0081664,0
FBgn0000173,FBtr0300566,0
FBgn0000179,FBtr0308914,0
FBgn0000180,FBtr0079929,0
FBgn0000181,FBtr0087783,0
FBgn0000182,FBtr0080805,0
FBgn0000183,FBtr0330225,0
FBgn0000206,FBtr0084949,0
FBgn0000210,FBtr0300429,0
FBgn0000212,FBtr0075524,0
FBgn0000221,FBtr0070638,0
FBgn0000227,FBtr0077423,0
FBgn0000228,FBtr0302567,0
FBgn0000229,FBtr0080087,0
FBgn0000233,FBtr0071379,0
FBgn0000239,FBtr0301342,0
FBgn0000241,FBtr0072117,0
FBgn0000244,FBtr0302382,0
FBgn0000246,FBtr0083196,2
FBgn0000247,FBtr0346613,0
FBgn0000250,FBtr0080847,0
FBgn0000251,FBtr0081412,0
FBgn0000253,FBtr0345018,0
FBgn0000256,FBtr0077512,0
FBgn0000257,FBtr0331158,0
FBgn0000259,FBtr0100540,0
FBgn0000261,FBtr0075058,0
FBgn0000273,FBtr0079852,0
FBgn0000274,FBtr0335454,0
FBgn0000276,FBtr0085612,0
FBgn0000277,FBtr0085614,0
FBgn0000278,FBtr0085640,3
FBgn0000279,FBtr0085616,0
FBgn0000283,FBtr0083127,0
FBgn0000286,FBtr0336835,0
FBgn0000287,FBtr0080235,0
FBgn0000289,FBtr0339961,0
FBgn0000299,FBtr0079002,0
FBgn0000303,FBtr0089367,0
FBgn0000307,FBtr0321313,0
FBgn0000308,FBtr0079236,0
FBgn0000316,FBtr0070065,0
FBgn0000317,FBtr0343686,0
FBgn0000318,FBtr0329968,0
FBgn0000319,FBtr0074179,0
FBgn0000320,FBtr0079334,0
FBgn0000326,FBtr0071687,0
FBgn0000330,FBtr0071033,0
FBgn0000337,FBtr0344723,0
FBgn0000339,FBtr0080849,0
FBgn0000346,FBtr0073754,0
FBgn0000351,FBtr0079320,0
FBgn0000352,FBtr0336916,0
FBgn0000355,FBtr0076572,0
FBgn0000356,FBtr0076574,0
FBgn0000357,FBtr0076571,0
FBgn0000358,FBtr0076573,0
FBgn0000359,FBtr0071203,0
FBgn0000360,FBtr0071204,0
FBgn0000370,FBtr0332002,0
FBgn0000376,FBtr0070496,0
FBgn0000377,FBtr0070418,0
FBgn0000382,FBtr0070378,0
FBgn0000384,FBtr0334157,0
FBgn0000392,FBtr0346452,0
FBgn0000394,FBtr0070804,0
FBgn0000395,FBtr0071610,0
FBgn0000404,FBtr0304650,0
FBgn0000405,FBtr0071913,0
FBgn0000406,FBtr0331931,0
FBgn0000409,FBtr0344849,0
FBgn0000411,FBtr0075746,0
FBgn0000412,FBtr0301524,0
FBgn0000413,FBtr0080008,0
FBgn0000414,FBtr0305085,0
FBgn0000416,FBtr0085713,0
FBgn0000422,FBtr0081166,0
FBgn0000426,FBtr0088010,0
FBgn0000427,FBtr0309796,0
FBgn0000439,FBtr0081621,0
FBgn0000442,FBtr0078042,0
FBgn0000447,FBtr0081890,0
FBgn0000448,FBtr0306346,0
FBgn0000449,FBtr0073205,0
FBgn0000451,FBtr0339899,0
FBgn0000454,FBtr0082831,0
FBgn0000455,FBtr0344982,0
FBgn0000459,FBtr0100384,0
FBgn0000463,FBtr0083740,0
FBgn0000464,FBtr0331240,0
FBgn0000473,FBtr0086133,0
FBgn0000477,FBtr0083538,0
FBgn0000479,FBtr0333314,0
FBgn0000482,FBtr0070269,0
FBgn0000489,FBtr0075529,0
FBgn0000490,FBtr0077773,0
FBgn0000492,FBtr0085441,0
FBgn0000497,FBtr0343249,0
FBgn0000499,FBtr0073454,0
FBgn0000500,FBtr0078989,0
FBgn0000504,FBtr0081760,0
FBgn0000520,FBtr0070487,0
FBgn0000524,FBtr0070914,0
FBgn0000527,FBtr0084106,0
FBgn0000529,FBtr0343855,0
FBgn0000535,FBtr0073955,0
FBgn0000536,FBtr0343519,0
FBgn0000541,FBtr0072521,0
FBgn0000542,FBtr0112801,0
FBgn0000543,FBtr0072903,0
FBgn0000546,FBtr0302439,0
FBgn0000547,FBtr0077465,0
FBgn0000551,FBtr0078408,0
FBgn0000552,FBtr0081688,0
FBgn0000556,FBtr0331927,0
FBgn0000557,FBtr0085832,0
FBgn0000559,FBtr0332966,0
FBgn0000560,FBtr0078438,0
FBgn0000562,FBtr0114586,0
FBgn0000564,FBtr0334930,0
FBgn0000565,FBtr0075552,0
FBgn0000566,FBtr0345422,0
FBgn0000567,FBtr0100411,0
FBgn0000568,FBtr0075150,0
FBgn0000575,FBtr0072578,0
FBgn0000576,FBtr0082863,0
FBgn0000577,FBtr0088095,0
FBgn0000578,FBtr0100174,0
FBgn0000579,FBtr0077909,0
FBgn0000581,FBtr0330623,0
FBgn0000588,FBtr0080325,0
FBgn0000591,FBtr0084961,0
FBgn0000592,FBtr0076003,0
FBgn0000594,FBtr0076004,0
FBgn0000606,FBtr0088390,0
FBgn0000611,FBtr0333322,0
FBgn0000615,FBtr0086243,0
FBgn0000617,FBtr0074463,0
FBgn0000618,FBtr0073540,0
FBgn0000625,FBtr0075979,0
FBgn0000629,FBtr0334067,0
FBgn0000633,FBtr0339940,0
FBgn0000635,FBtr0070665,0
FBgn0000636,FBtr0344782,0
FBgn0000639,FBtr0075749,0
FBgn0000640,FBtr0343429,0
FBgn0000644,FBtr0070542,0
FBgn0000658,FBtr0086754,0
FBgn0000659,FBtr0330333,0
FBgn0000662,FBtr0087648,0
FBgn0000667,FBtr0303048,0
FBgn0000709,FBtr0077192,0
FBgn0000711,FBtr0071447,0
FBgn0000715,FBtr0088383,0
FBgn0000719,FBtr0333182,0
FBgn0000721,FBtr0089310,0
FBgn0000723,FBtr0333295,0
FBgn0000808,FBtr0332308,0
FBgn0000810,FBtr0070396,0
FBgn0000826,FBtr0070234,0
FBgn0000927,FBtr0070485,0
FBgn0000928,FBtr0070484,0
FBgn0000964,FBtr0329891,0
FBgn0000996,FBtr0087387,0
FBgn0001075,FBtr0077478,0
FBgn0001077,FBtr0081625,0
FBgn0001078,FBtr0347045,0
FBgn0001079,FBtr0074602,0
FBgn0001083,FBtr0112806,0
FBgn0001084,FBtr0079712,0
FBgn0001085,FBtr0075743,0
FBgn0001086,FBtr0080833,0
FBgn0001087,FBtr0331710,0
FBgn0001089,FBtr0332603,0
FBgn0001091,FBtr0088903,4
FBgn0001092,FBtr0332618,0
FBgn0001098,FBtr0089496,0
FBgn0001099,FBtr0346516,0
FBgn0001104,FBtr0076934,0
FBgn0001105,FBtr0346794,0
FBgn0001108,FBtr0075756,0
FBgn0001112,FBtr0081596,0
FBgn0001114,FBtr0307091,0
FBgn0001120,FBtr0075697,0
FBgn0001122,FBtr0088271,0
FBgn0001123,FBtr0072142,0
FBgn0001124,FBtr0087231,0
FBgn0001125,FBtr0077868,0
FBgn0001128,FBtr0333230,0
FBgn0001133,FBtr0071548,0
FBgn0001134,FBtr0075139,0
FBgn0001137,FBtr0079708,0
FBgn0001138,FBtr0300040,0
FBgn0001139,FBtr0302951,0
FBgn0001142,FBtr0300568,0
FBgn0001145,FBtr0073494,0
FBgn0001147,FBtr0072461,0
FBgn0001148,FBtr0072444,0
FBgn0001149,FBtr0100410,0
FBgn0001150,FBtr0070460,0
FBgn0001168,FBtr0076569,0
FBgn0001169,FBtr0083917,0
FBgn0001170,FBtr0079227,0
FBgn0001174,FBtr0114554,0
FBgn0001179,FBtr0114599,0
FBgn0001180,FBtr0081950,0
FBgn0001185,FBtr0335138,0
FBgn0001186,FBtr0071361,0
FBgn0001187,FBtr0087399,0
FBgn0001189,FBtr0333115,0
FBgn0001197,FBtr0334311,0
FBgn0001202,FBtr0081180,0
FBgn0001206,FBtr0071511,0
FBgn0001208,FBtr0076811,0
FBgn0001215,FBtr0085298,0
FBgn0001216,FBtr0075762,0
FBgn0001217,FBtr0082707,0
FBgn0001218,FBtr0073609,0
FBgn0001220,FBtr0087568,0
FBgn0001222,FBtr0110966,0
FBgn0001223,FBtr0100558,0
FBgn0001224,FBtr0309504,0
FBgn0001225,FBtr0076496,0
FBgn0001226,FBtr0076454,0
FBgn0001227,FBtr0076495,0
FBgn0001228,FBtr0100655,0
FBgn0001229,FBtr0076497,0
FBgn0001233,FBtr0332873,0
FBgn0001235,FBtr0100454,0
FBgn0001247,FBtr0273273,0
FBgn0001248,FBtr0076670,0
FBgn0001250,FBtr0301354,0
